"행정구역","2019년02월_남_총인구수","2019년02월_남_연령구간인구수","2019년02월_남_0세","2019년02월_남_1세","2019년02월_남_2세","2019년02월_남_3세","2019년02월_남_4세","2019년02월_남_5세","2019년02월_남_6세","2019년02월_남_7세","2019년02월_남_8세","2019년02월_남_9세","2019년02월_남_10세","2019년02월_남_11세","2019년02월_남_12세","2019년02월_남_13세","2019년02월_남_14세","2019년02월_남_15세","2019년02월_남_16세","2019년02월_남_17세","2019년02월_남_18세","2019년02월_남_19세","2019년02월_남_20세","2019년02월_남_21세","2019년02월_남_22세","2019년02월_남_23세","2019년02월_남_24세","2019년02월_남_25세","2019년02월_남_26세","2019년02월_남_27세","2019년02월_남_28세","2019년02월_남_29세","2019년02월_남_30세","2019년02월_남_31세","2019년02월_남_32세","2019년02월_남_33세","2019년02월_남_34세","2019년02월_남_35세","2019년02월_남_36세","2019년02월_남_37세","2019년02월_남_38세","2019년02월_남_39세","2019년02월_남_40세","2019년02월_남_41세","2019년02월_남_42세","2019년02월_남_43세","2019년02월_남_44세","2019년02월_남_45세","2019년02월_남_46세","2019년02월_남_47세","2019년02월_남_48세","2019년02월_남_49세","2019년02월_남_50세","2019년02월_남_51세","2019년02월_남_52세","2019년02월_남_53세","2019년02월_남_54세","2019년02월_남_55세","2019년02월_남_56세","2019년02월_남_57세","2019년02월_남_58세","2019년02월_남_59세","2019년02월_남_60세","2019년02월_남_61세","2019년02월_남_62세","2019년02월_남_63세","2019년02월_남_64세","2019년02월_남_65세","2019년02월_남_66세","2019년02월_남_67세","2019년02월_남_68세","2019년02월_남_69세","2019년02월_남_70세","2019년02월_남_71세","2019년02월_남_72세","2019년02월_남_73세","2019년02월_남_74세","2019년02월_남_75세","2019년02월_남_76세","2019년02월_남_77세","2019년02월_남_78세","2019년02월_남_79세","2019년02월_남_80세","2019년02월_남_81세","2019년02월_남_82세","2019년02월_남_83세","2019년02월_남_84세","2019년02월_남_85세","2019년02월_남_86세","2019년02월_남_87세","2019년02월_남_88세","2019년02월_남_89세","2019년02월_남_90세","2019년02월_남_91세","2019년02월_남_92세","2019년02월_남_93세","2019년02월_남_94세","2019년02월_남_95세","2019년02월_남_96세","2019년02월_남_97세","2019년02월_남_98세","2019년02월_남_99세","2019년02월_남_100세 이상","2019년02월_여_총인구수","2019년02월_여_연령구간인구수","2019년02월_여_0세","2019년02월_여_1세","2019년02월_여_2세","2019년02월_여_3세","2019년02월_여_4세","2019년02월_여_5세","2019년02월_여_6세","2019년02월_여_7세","2019년02월_여_8세","2019년02월_여_9세","2019년02월_여_10세","2019년02월_여_11세","2019년02월_여_12세","2019년02월_여_13세","2019년02월_여_14세","2019년02월_여_15세","2019년02월_여_16세","2019년02월_여_17세","2019년02월_여_18세","2019년02월_여_19세","2019년02월_여_20세","2019년02월_여_21세","2019년02월_여_22세","2019년02월_여_23세","2019년02월_여_24세","2019년02월_여_25세","2019년02월_여_26세","2019년02월_여_27세","2019년02월_여_28세","2019년02월_여_29세","2019년02월_여_30세","2019년02월_여_31세","2019년02월_여_32세","2019년02월_여_33세","2019년02월_여_34세","2019년02월_여_35세","2019년02월_여_36세","2019년02월_여_37세","2019년02월_여_38세","2019년02월_여_39세","2019년02월_여_40세","2019년02월_여_41세","2019년02월_여_42세","2019년02월_여_43세","2019년02월_여_44세","2019년02월_여_45세","2019년02월_여_46세","2019년02월_여_47세","2019년02월_여_48세","2019년02월_여_49세","2019년02월_여_50세","2019년02월_여_51세","2019년02월_여_52세","2019년02월_여_53세","2019년02월_여_54세","2019년02월_여_55세","2019년02월_여_56세","2019년02월_여_57세","2019년02월_여_58세","2019년02월_여_59세","2019년02월_여_60세","2019년02월_여_61세","2019년02월_여_62세","2019년02월_여_63세","2019년02월_여_64세","2019년02월_여_65세","2019년02월_여_66세","2019년02월_여_67세","2019년02월_여_68세","2019년02월_여_69세","2019년02월_여_70세","2019년02월_여_71세","2019년02월_여_72세","2019년02월_여_73세","2019년02월_여_74세","2019년02월_여_75세","2019년02월_여_76세","2019년02월_여_77세","2019년02월_여_78세","2019년02월_여_79세","2019년02월_여_80세","2019년02월_여_81세","2019년02월_여_82세","2019년02월_여_83세","2019년02월_여_84세","2019년02월_여_85세","2019년02월_여_86세","2019년02월_여_87세","2019년02월_여_88세","2019년02월_여_89세","2019년02월_여_90세","2019년02월_여_91세","2019년02월_여_92세","2019년02월_여_93세","2019년02월_여_94세","2019년02월_여_95세","2019년02월_여_96세","2019년02월_여_97세","2019년02월_여_98세","2019년02월_여_99세","2019년02월_여_100세 이상"
"전국  (0000000000)","25,866,255","25,866,255","159,891","183,292","206,300","225,501","225,138","224,230","249,264","244,039","246,925","230,337","239,299","256,177","235,267","226,580","240,951","255,390","255,467","283,403","327,893","325,682","330,735","345,672","356,064","370,785","377,665","376,208","381,627","368,478","335,554","334,322","326,785","319,276","321,923","333,111","334,777","376,973","414,733","430,176","425,373","424,838","379,920","391,406","388,141","398,517","432,909","450,227","457,357","476,634","474,494","461,631","469,814","426,081","431,236","425,155","426,600","393,427","438,411","452,710","463,797","427,203","388,793","379,402","347,889","340,767","314,998","253,434","272,741","214,122","209,493","212,716","208,856","203,565","183,454","137,368","146,711","134,225","173,685","143,498","115,938","113,599","99,783","86,591","76,291","65,850","55,095","42,932","35,360","26,694","20,154","17,284","13,241","9,961","6,900","4,825","3,846","3,262","2,784","1,728","1,217","938","4,494","25,963,283","25,963,283","151,524","172,755","196,765","214,116","214,678","214,001","236,725","231,046","233,068","216,611","225,496","242,356","219,757","211,022","224,516","236,332","234,806","261,033","300,857","298,662","302,863","321,099","322,624","332,140","331,388","330,825","340,516","333,848","303,703","300,785","300,112","299,133","303,068","313,204","316,779","359,861","397,685","414,522","408,370","409,664","366,135","382,109","371,629","388,433","418,011","444,201","437,794","455,445","458,504","451,479","463,443","428,324","406,489","416,958","415,657","378,974","423,060","450,291","470,582","436,680","391,094","380,738","354,844","358,841","327,578","270,390","292,644","230,308","228,532","234,791","231,524","231,894","210,110","162,489","183,684","178,716","223,123","195,946","166,558","169,597","155,932","141,899","133,527","122,666","110,807","92,345","82,073","68,524","57,709","50,749","41,680","33,539","24,533","18,566","13,240","11,694","9,736","6,307","4,243","2,923","14,677"
"서울특별시  (1100000000)","4,773,605","4,773,605","27,977","30,473","33,735","36,145","35,828","35,485","38,974","37,925","38,807","35,929","38,053","41,394","38,588","37,047","40,363","42,612","42,298","46,651","55,182","55,520","56,854","59,790","63,131","68,667","73,826","77,022","82,134","82,034","75,863","75,597","74,771","71,690","71,656","72,626","71,472","79,835","82,472","84,503","81,726","80,764","70,369","71,587","71,936","72,378","78,761","81,076","83,793","88,153","86,966","83,872","82,717","75,035","74,149","73,792","74,823","70,127","75,290","77,398","79,867","75,019","69,997","68,557","62,715","63,794","58,664","48,620","52,010","39,029","40,445","40,887","40,127","39,449","36,468","27,929","29,156","26,746","33,542","27,660","22,123","20,718","18,029","15,403","13,118","11,356","9,201","7,156","6,000","4,509","3,517","3,110","2,404","1,805","1,320","900","740","744","596","427","352","258","1,497","4,997,033","4,997,033","25,761","29,126","32,080","34,581","34,209","33,515","37,403","35,820","36,832","34,260","36,164","38,879","36,186","34,482","37,966","39,949","39,785","43,765","52,072","54,032","57,461","62,683","66,366","73,006","76,799","79,236","83,528","83,737","76,913","75,409","75,406","72,813","72,644","72,634","71,172","77,789","82,462","83,656","81,117","81,250","71,169","73,673","72,390","73,767","79,268","84,257","84,598","88,273","88,491","85,428","85,245","79,414","73,329","75,989","77,093","71,794","77,397","81,786","87,309","82,330","75,522","74,310","69,637","71,814","65,197","54,719","58,192","44,033","45,178","47,246","45,856","46,559","43,092","32,723","34,262","32,655","38,501","33,319","27,438","26,714","24,416","21,890","20,135","18,349","16,049","13,347","11,751","9,997","8,583","7,619","6,519","5,394","4,054","3,072","2,187","2,069","1,664","1,138","828","622","4,435"
"부산광역시  (2600000000)","1,689,253","1,689,253","9,119","10,912","12,130","13,648","13,491","13,236","14,588","14,142","14,097","13,044","13,294","14,311","13,001","12,757","13,645","14,856","14,838","16,690","19,659","19,811","20,377","21,671","23,487","24,743","25,276","25,300","25,054","23,843","21,191","21,341","20,202","19,308","19,650","20,089","20,327","23,127","25,520","27,177","27,308","27,338","23,996","24,195","23,180","24,359","26,360","27,483","28,181","28,718","29,083","28,465","29,155","27,160","26,883","26,835","26,708","25,603","29,747","31,069","32,792","30,439","28,773","28,768","27,287","26,806","25,785","20,765","21,931","18,755","17,500","17,493","17,413","16,278","14,509","10,536","12,161","11,078","13,447","10,659","8,967","8,329","7,039","5,977","5,163","4,301","3,517","2,744","2,185","1,664","1,199","1,053","790","581","401","268","222","168","155","97","58","62","360","1,746,977","1,746,977","8,764","10,074","11,783","12,800","12,558","12,594","13,783","13,508","13,435","12,114","12,633","13,555","12,180","11,850","12,831","13,583","13,612","15,434","17,700","17,920","18,670","20,551","21,272","22,076","22,298","21,880","22,431","21,689","19,461","19,455","18,973","18,646","18,418","18,943","19,551","22,391","24,495","26,482","26,419","26,266","22,953","23,352","22,361","24,000","26,045","27,818","27,565","28,757","29,663","29,362","30,510","29,176","27,420","28,505","28,327","26,623","31,461","34,194","36,203","33,730","31,010","30,728","29,419","30,804","26,877","23,068","24,694","20,950","19,235","20,066","20,032","19,095","16,599","12,165","14,717","13,873","16,459","14,247","12,446","11,989","10,648","9,489","8,781","7,973","7,079","5,718","5,224","4,348","3,445","3,155","2,670","2,218","1,443","1,119","807","653","521","359","243","171","1,337"
"대구광역시  (2700000000)","1,217,209","1,217,209","6,959","8,236","9,410","10,187","10,207","10,071","11,428","11,100","11,286","10,473","11,035","11,775","11,098","11,060","11,644","12,839","12,738","14,470","16,830","16,546","16,756","17,959","18,276","19,002","18,980","18,809","18,656","17,617","15,845","15,847","14,880","14,361","14,263","14,620","14,463","16,044","17,711","18,533","18,570","18,689","16,658","17,450","17,876","18,362","19,868","20,651","21,374","22,126","22,144","22,070","22,889","21,448","20,956","20,496","20,579","19,073","21,478","22,097","21,926","20,718","18,062","17,964","17,120","15,717","14,651","12,360","13,229","11,195","10,111","10,472","10,243","9,523","7,678","5,654","6,675","6,483","8,234","6,491","5,320","5,198","4,513","3,785","3,437","2,955","2,565","1,874","1,651","1,199","785","623","518","381","261","191","122","108","84","55","37","23","150","1,240,929","1,240,929","6,655","7,808","8,947","9,774","9,787","9,726","10,766","10,566","10,602","9,702","10,201","11,316","10,071","10,077","10,576","11,565","11,215","12,836","15,017","14,607","14,491","16,100","16,176","16,435","15,730","15,330","15,576","14,777","13,245","13,237","12,419","12,499","12,541","13,103","13,129","15,672","17,849","18,704","18,711","18,942","16,729","17,760","17,823","18,761","20,470","21,860","21,984","22,650","22,952","23,130","23,513","22,690","20,789","21,669","21,506","19,339","22,070","22,798","23,349","22,513","18,515","18,506","17,799","17,800","15,657","14,001","15,524","12,652","11,443","11,975","12,385","11,517","9,407","7,051","8,811","9,215","10,758","9,169","8,001","8,121","7,068","6,539","5,990","5,526","4,900","4,071","3,585","2,976","2,395","1,963","1,642","1,281","970","685","525","385","303","228","155","108","492"
"인천광역시  (2800000000)","1,482,440","1,482,440","9,557","10,657","11,870","13,119","13,268","13,058","14,469","14,357","14,282","13,438","13,751","14,765","13,577","12,895","13,609","14,517","14,201","16,097","18,229","18,455","18,566","19,720","20,616","21,565","22,745","22,995","23,259","22,820","20,687","20,132","19,538","18,878","19,111","19,950","19,989","22,418","24,911","26,190","25,539","25,897","22,746","23,347","22,765","23,656","25,482","25,990","26,668","27,401","27,285","26,351","26,887","24,531","24,914","25,336","25,883","24,084","26,626","27,474","27,658","25,397","22,970","21,731","19,331","18,752","16,832","13,201","14,259","10,253","10,426","10,640","10,479","10,131","9,223","6,789","6,903","6,551","7,812","6,412","5,051","4,947","4,400","3,759","3,261","2,982","2,390","1,890","1,474","1,149","892","762","645","475","330","222","185","177","152","81","75","59","209","1,473,623","1,473,623","9,186","9,816","11,526","12,523","12,638","12,562","13,642","13,511","13,529","12,719","13,183","14,132","12,617","12,253","12,779","13,650","13,310","14,981","17,131","16,800","17,089","18,526","18,829","20,033","20,260","20,633","21,372","21,014","18,860","18,460","18,236","17,643","17,907","18,448","18,697","21,427","23,563","24,721","24,115","24,078","21,736","22,299","21,411","22,301","24,178","25,771","25,530","26,520","26,823","26,500","27,640","25,407","24,610","25,379","25,934","23,304","25,829","26,872","27,223","24,829","22,525","21,437","19,142","19,305","17,048","13,969","14,628","10,516","10,832","11,355","11,029","11,271","10,633","7,938","8,329","8,196","10,168","8,842","7,459","7,497","7,053","6,267","6,075","5,520","4,922","4,235","3,812","3,151","2,786","2,427","2,028","1,569","1,248","907","763","498","454","322","196","140","636"
"광주광역시  (2900000000)","722,689","722,689","4,458","5,278","6,130","6,664","6,864","6,837","7,937","7,699","7,726","7,392","7,614","8,435","7,714","7,446","7,899","8,785","8,603","9,726","11,282","11,081","11,171","11,761","11,730","11,654","11,483","11,209","10,905","10,024","8,957","8,774","8,377","8,268","8,351","8,839","9,020","10,528","11,902","11,954","11,501","11,906","10,758","11,130","11,521","11,257","12,744","12,766","13,112","13,262","13,350","12,672","13,136","12,032","12,067","11,622","11,064","10,720","10,989","10,808","11,798","10,729","9,318","9,184","8,008","7,911","7,208","5,691","6,069","5,430","5,287","5,458","5,138","4,994","4,815","3,556","3,622","3,023","4,600","3,510","2,700","2,598","2,418","2,030","1,652","1,476","1,314","955","776","593","412","475","290","217","149","105","61","70","52","27","16","19","41","736,519","736,519","4,181","4,921","5,814","6,358","6,463","6,606","7,253","7,148","7,478","6,829","7,253","7,749","7,157","6,895","7,381","7,906","7,971","9,069","10,311","10,234","10,330","10,742","10,724","10,787","10,181","9,837","9,851","9,209","8,405","7,988","8,006","7,927","8,116","8,465","8,697","10,139","11,527","11,943","11,642","12,095","10,924","11,438","11,484","11,359","12,784","13,178","13,197","13,710","13,348","12,699","13,528","12,256","11,844","11,954","11,058","10,838","10,997","11,284","12,323","11,387","10,169","9,703","8,389","8,548","7,849","6,425","7,028","6,081","6,109","6,428","5,891","6,141","5,557","4,367","4,583","4,039","5,584","4,806","4,053","3,973","3,543","3,400","2,932","2,797","2,554","2,128","1,842","1,526","1,398","1,254","987","733","600","441","289","278","230","170","106","75","335"
"대전광역시  (3000000000)","743,135","743,135","4,540","5,499","6,202","6,770","6,746","6,753","7,328","7,411","7,278","6,885","7,330","7,907","7,236","7,028","7,643","8,031","8,128","8,968","10,306","10,136","10,492","10,886","11,405","12,100","11,989","11,766","12,009","11,114","10,516","10,325","9,889","9,752","9,649","9,646","9,809","10,495","11,794","11,972","11,883","11,626","10,782","11,068","11,100","11,424","12,426","13,222","13,078","13,853","13,602","13,529","13,845","12,023","12,040","11,579","11,925","10,354","11,943","12,812","12,913","11,618","10,185","10,357","9,699","9,201","8,598","6,639","6,968","5,666","5,556","5,539","5,303","4,945","4,538","3,462","3,603","3,304","4,293","3,583","2,539","2,726","2,429","2,151","1,801","1,528","1,328","1,069","899","676","501","379","338","273","174","129","82","71","54","48","25","21","77","744,470","744,470","4,332","5,075","5,903","6,411","6,247","6,453","7,004","6,923","6,812","6,587","6,796","7,480","6,779","6,516","7,030","7,563","7,346","8,143","9,493","9,418","9,791","10,558","10,659","10,780","10,428","10,185","10,430","9,983","9,169","8,716","8,630","8,589","8,744","9,108","8,973","10,089","11,370","11,948","11,627","11,583","10,935","11,325","11,168","11,566","12,504","13,535","13,120","13,507","13,560","13,578","14,163","12,506","11,628","11,636","12,037","10,215","11,995","12,856","13,475","12,346","10,512","10,524","9,730","9,856","9,141","6,941","7,349","6,047","5,910","6,026","5,984","5,446","5,096","3,943","4,490","4,389","5,389","4,676","3,690","3,938","3,691","3,324","3,120","2,884","2,591","2,230","1,911","1,654","1,333","1,194","985","827","545","442","294","295","210","141","97","49","250"
"울산광역시  (3100000000)","592,853","592,853","3,994","4,667","5,397","5,771","5,840","5,631","6,279","6,074","6,086","5,743","5,892","6,182","5,578","5,417","5,733","6,133","5,841","7,025","7,949","7,865","8,229","8,526","8,895","8,929","8,876","8,907","8,653","8,334","7,641","7,866","7,697","7,230","7,367","7,640","7,617","8,807","9,698","10,259","10,285","10,261","9,011","9,352","8,814","8,906","9,645","9,827","10,162","10,704","10,680","10,755","11,336","10,517","11,039","11,171","10,939","9,614","11,079","11,181","11,212","10,152","9,187","8,552","7,841","7,411","6,788","5,580","5,647","4,582","4,336","4,061","4,072","3,685","3,006","2,129","2,360","2,187","2,718","1,974","1,594","1,590","1,299","995","877","728","665","516","422","278","226","171","134","95","53","42","32","31","19","10","14","4","32","560,882","560,882","3,769","4,359","5,064","5,465","5,517","5,508","5,955","5,618","5,651","5,193","5,406","5,788","5,153","4,891","4,989","5,413","5,287","6,058","7,051","6,762","6,642","7,150","6,956","6,993","6,798","6,586","6,765","6,859","6,132","6,223","6,074","6,153","6,445","6,757","6,937","8,248","9,224","9,481","9,510","9,403","8,175","8,761","8,066","8,722","9,411","10,192","10,016","10,765","10,945","10,903","11,418","10,940","10,142","10,529","9,988","9,000","9,950","10,461","10,895","9,656","8,600","8,290","7,727","7,467","6,474","5,548","5,619","4,524","4,111","4,021","4,006","3,719","3,075","2,218","2,929","2,668","3,263","2,599","2,321","2,342","2,083","1,973","1,834","1,639","1,519","1,269","1,106","966","719","675","595","441","343","268","197","163","128","65","51","35","124"
"세종특별자치시  (3600000000)","159,860","159,860","1,856","2,006","2,253","2,448","2,354","2,252","2,630","2,510","2,511","2,325","2,318","2,269","2,161","1,905","1,844","1,792","1,640","1,601","1,703","1,641","1,634","1,624","1,669","1,749","1,779","1,733","1,838","1,766","1,747","1,886","2,061","2,114","2,398","2,487","2,665","2,979","3,371","3,604","3,467","3,616","3,071","3,293","3,148","3,111","3,325","3,352","3,101","3,207","2,882","2,616","2,583","2,123","2,100","1,927","2,053","1,688","2,041","2,023","1,983","1,846","1,604","1,608","1,414","1,541","1,392","996","1,091","839","864","864","821","703","678","503","504","478","618","538","413","417","385","309","323","235","245","176","132","102","90","82","60","42","31","27","11","14","10","10","2","2","7","160,466","160,466","1,754","1,996","2,154","2,264","2,222","2,268","2,455","2,363","2,406","2,230","2,342","2,330","2,056","1,877","1,889","1,832","1,644","1,578","1,585","1,583","1,540","1,438","1,469","1,535","1,623","1,576","1,839","1,973","1,890","2,079","2,198","2,352","2,509","2,548","2,739","3,228","3,711","3,751","3,628","3,691","3,273","3,203","3,107","3,119","3,020","2,997","2,651","2,719","2,453","2,237","2,258","1,999","1,894","1,803","1,879","1,578","1,824","1,934","1,967","1,793","1,617","1,594","1,496","1,498","1,400","1,069","1,114","916","906","969","810","784","754","570","654","616","843","723","607","642","603","552","510","508","471","418","395","311","265","233","181","150","117","82","67","38","33","37","7","6","47"
"경기도  (4100000000)","6,592,095","6,592,095","44,262","51,054","58,285","63,873","63,805","63,241","70,634","68,461","69,594","64,803","67,063","71,419","65,192","61,711","65,071","68,522","67,871","74,394","85,764","84,280","84,868","88,201","89,365","93,171","95,510","96,065","99,232","96,914","86,520","86,705","85,380","84,397","84,593","88,251","89,315","100,834","112,386","116,992","116,743","116,205","103,934","107,203","106,806","109,429","116,900","121,516","122,949","127,864","126,679","121,281","122,064","108,558","110,797","109,236","110,550","100,466","109,360","112,024","112,992","102,547","93,386","87,914","78,450","76,341","69,187","55,556","59,992","41,833","42,275","43,119","42,181","42,506","38,858","29,729","30,088","27,607","34,380","29,018","23,814","22,692","20,207","17,810","15,774","13,275","11,165","8,746","7,201","5,478","4,282","3,665","2,773","2,098","1,460","993","882","737","667","394","288","216","957","6,512,601","6,512,601","41,958","48,256","55,459","60,649","61,218","60,223","67,173","65,152","65,937","61,256","63,713","67,944","61,842","58,263","61,945","64,440","63,301","69,388","79,574","77,811","77,966","81,593","81,194","84,632","85,556","85,851","88,018","87,037","78,783","78,310","78,485","78,750","79,855","83,917","84,945","96,672","107,521","113,637","112,432","112,767","100,961","105,579","102,442","106,533","113,284","119,770","117,947","122,384","122,128","119,291","121,165","110,015","104,490","105,537","105,785","94,330","102,672","108,249","109,628","99,862","90,295","85,315","78,221","77,563","70,795","57,216","62,492","44,287","46,278","47,190","46,631","47,901","44,495","34,698","37,319","36,008","43,217","38,413","32,604","32,906","30,344","27,728","25,937","23,994","21,305","17,814","15,888","12,923","11,307","9,956","8,303","6,728","4,895","3,763","2,778","2,298","1,907","1,229","861","575","2,749"
