"행정구역","2019년02월_계_총인구수","2019년02월_계_연령구간인구수","2019년02월_계_0~9세","2019년02월_계_10~19세","2019년02월_계_20~29세","2019년02월_계_30~39세","2019년02월_계_40~49세","2019년02월_계_50~59세","2019년02월_계_60~69세","2019년02월_계_70~79세","2019년02월_계_80~89세","2019년02월_계_90~99세","2019년02월_계_100세 이상","2019년02월_남_총인구수","2019년02월_남_연령구간인구수","2019년02월_남_0~9세","2019년02월_남_10~19세","2019년02월_남_20~29세","2019년02월_남_30~39세","2019년02월_남_40~49세","2019년02월_남_50~59세","2019년02월_남_60~69세","2019년02월_남_70~79세","2019년02월_남_80~89세","2019년02월_남_90~99세","2019년02월_남_100세 이상","2019년02월_여_총인구수","2019년02월_여_연령구간인구수","2019년02월_여_0~9세","2019년02월_여_10~19세","2019년02월_여_20~29세","2019년02월_여_30~39세","2019년02월_여_40~49세","2019년02월_여_50~59세","2019년02월_여_60~69세","2019년02월_여_70~79세","2019년02월_여_80~89세","2019년02월_여_90~99세","2019년02월_여_100세 이상"
"전국  (0000000000)","51,829,538","51,829,538","4,276,206","5,100,946","6,796,901","7,230,363","8,484,976","8,644,892","6,004,115","3,514,540","1,542,265","215,163","19,171","25,866,255","25,866,255","2,194,917","2,646,109","3,577,110","3,707,965","4,311,236","4,354,434","2,934,355","1,560,899","526,034","48,702","4,494","25,963,283","25,963,283","2,081,289","2,454,837","3,219,791","3,522,398","4,173,740","4,290,458","3,069,760","1,953,641","1,016,231","166,461","14,677"
"서울특별시  (1100000000)","9,770,638","9,770,638","684,865","850,988","1,450,056","1,542,458","1,590,205","1,549,903","1,150,566","665,037","243,535","37,093","5,932","4,773,605","4,773,605","351,278","437,708","714,918","771,515","788,891","758,217","544,718","303,918","91,399","9,546","1,497","4,997,033","4,997,033","333,587","413,280","735,138","770,943","801,314","791,686","605,848","361,119","152,136","27,547","4,435"
"부산광역시  (2600000000)","3,436,230","3,436,230","249,820","294,160","442,066","450,630","525,896","592,540","490,714","274,999","100,702","13,006","1,697","1,689,253","1,689,253","128,407","152,862","232,283","230,046","264,020","286,391","233,863","123,377","34,842","2,802","360","1,746,977","1,746,977","121,413","141,298","209,783","220,584","261,876","306,149","256,851","151,622","65,860","10,204","1,337"
"대구광역시  (2700000000)","2,458,138","2,458,138","193,690","247,516","328,844","315,703","402,698","431,896","294,753","165,934","68,400","8,062","642","1,217,209","1,217,209","99,357","130,035","177,747","162,134","198,579","211,660","140,881","71,499","23,387","1,780","150","1,240,929","1,240,929","94,333","117,481","151,097","153,569","204,119","220,236","153,872","94,435","45,013","6,282","492"
"인천광역시  (2800000000)","2,956,063","2,956,063","249,727","290,932","408,181","431,256","494,760","515,817","319,152","165,660","69,207","10,526","845","1,482,440","1,482,440","128,075","150,096","213,105","222,421","251,691","258,790","158,395","74,298","22,959","2,401","209","1,473,623","1,473,623","121,652","140,836","195,076","208,835","243,069","257,027","160,757","91,362","46,248","8,125","636"
"광주광역시  (2900000000)","1,459,208","1,459,208","130,036","170,511","205,722","199,203","246,693","232,434","146,293","87,550","35,475","4,915","376","722,689","722,689","66,985","88,585","107,668","100,646","122,572","114,965","69,564","38,556","12,101","1,006","41","736,519","736,519","63,051","81,926","98,054","98,557","124,121","117,469","76,729","48,994","23,374","3,909","335"
"대전광역시  (3000000000)","1,487,605","1,487,605","127,159","159,277","213,301","207,176","248,882","243,909","160,444","85,337","36,693","5,100","327","743,135","743,135","65,412","82,713","112,602","106,515","124,084","121,052","78,408","38,296","12,761","1,215","77","744,470","744,470","61,747","76,564","100,699","100,661","124,798","122,857","82,036","47,041","23,932","3,885","250"
"울산광역시  (3100000000)","1,153,735","1,153,735","107,581","120,413","151,960","165,093","193,812","211,219","126,366","54,455","19,960","2,720","156","592,853","592,853","55,482","63,615","84,856","86,861","97,856","108,240","63,985","25,315","6,177","434","32","560,882","560,882","52,099","56,798","67,104","78,232","95,956","102,979","62,381","29,140","13,783","2,286","124"
"세종특별자치시  (3600000000)","320,326","320,326","45,257","37,590","34,387","59,117","59,885","39,296","24,792","12,676","6,345","927","54","159,860","159,860","23,145","18,874","17,425","28,762","31,106","20,367","12,213","5,673","2,079","209","7","160,466","160,466","22,112","18,716","16,962","30,355","28,779","18,929","12,579","7,003","4,266","718","47"
"경기도  (4100000000)","13,104,696","13,104,696","1,205,293","1,379,508","1,745,491","1,944,077","2,294,880","2,160,327","1,307,705","715,065","304,799","43,845","3,706","6,592,095","6,592,095","618,012","711,287","916,551","995,096","1,164,561","1,098,594","648,053","320,873","107,603","10,508","957","6,512,601","6,512,601","587,281","668,221","828,940","948,981","1,130,319","1,061,733","659,652","394,192","197,196","33,337","2,749"
